resume: 0 verified UNSAT leaves already on record; 0 earlier CAP rows honoured
instance k211k24_n26_lex.cnf: p cnf 115775 227150 | top cubes 402 | cap 120s | resplit depth 8 | par 16
=== LEVEL 0: 402 cubes, 402 to solve ===
{'id': '51', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1471253, 'vnote': 'check rc0'}
{'id': '48', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1602947, 'vnote': 'check rc0'}
{'id': '58', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 393675, 'vnote': 'check rc0'}
{'id': '52', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1118370, 'vnote': 'check rc0'}
{'id': '60', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 649148, 'vnote': 'check rc0'}
{'id': '57', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1220111, 'vnote': 'check rc0'}
{'id': '61', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 839522, 'vnote': 'check rc0'}
{'id': '59', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1547910, 'vnote': 'check rc0'}
{'id': '64', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 501180, 'vnote': 'check rc0'}
{'id': '62', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1732992, 'vnote': 'check rc0'}
{'id': '66', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 503896, 'vnote': 'check rc0'}
{'id': '63', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1688436, 'vnote': 'check rc0'}
{'id': '72', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 6, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 495500, 'vnote': 'check rc0'}
{'id': '74', 'result': 'UNSAT', 'secs': 0.2, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 361726, 'vnote': 'check rc0'}
{'id': '73', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 7, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 655965, 'vnote': 'check rc0'}
{'id': '54', 'result': 'UNSAT', 'secs': 1.4, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 2479343, 'vnote': 'check rc0'}
{'id': '68', 'result': 'UNSAT', 'secs': 0.7, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1836871, 'vnote': 'check rc0'}
{'id': '67', 'result': 'UNSAT', 'secs': 0.9, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2455086, 'vnote': 'check rc0'}
{'id': '75', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1666748, 'vnote': 'check rc0'}
{'id': '76', 'result': 'UNSAT', 'secs': 0.2, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 812833, 'vnote': 'check rc0'}
{'id': '78', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1292420, 'vnote': 'check rc0'}
{'id': '77', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1336054, 'vnote': 'check rc0'}
{'id': '79', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1195118, 'vnote': 'check rc0'}
{'id': '80', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1293386, 'vnote': 'check rc0'}
{'id': '81', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 770811, 'vnote': 'check rc0'}
{'id': '82', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1450990, 'vnote': 'check rc0'}
{'id': '83', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1530569, 'vnote': 'check rc0'}
{'id': '86', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 527825, 'vnote': 'check rc0'}
{'id': '84', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1780338, 'vnote': 'check rc0'}
{'id': '87', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 426897, 'vnote': 'check rc0'}
{'id': '88', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1626236, 'vnote': 'check rc0'}
{'id': '29', 'result': 'UNSAT', 'secs': 4.2, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19881023, 'vnote': 'check rc0'}
{'id': '27', 'result': 'UNSAT', 'secs': 4.3, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19755536, 'vnote': 'check rc0'}
{'id': '25', 'result': 'UNSAT', 'secs': 4.5, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 21183578, 'vnote': 'check rc0'}
{'id': '91', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1426898, 'vnote': 'check rc0'}
{'id': '92', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1637783, 'vnote': 'check rc0'}
{'id': '96', 'result': 'UNSAT', 'secs': 0.2, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 298062, 'vnote': 'check rc0'}
{'id': '94', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1461833, 'vnote': 'check rc0'}
{'id': '98', 'result': 'UNSAT', 'secs': 0.2, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 391661, 'vnote': 'check rc0'}
{'id': '93', 'result': 'UNSAT', 'secs': 0.8, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2059555, 'vnote': 'check rc0'}
{'id': '95', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1296981, 'vnote': 'check rc0'}
{'id': '100', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1628588, 'vnote': 'check rc0'}
{'id': '90', 'result': 'UNSAT', 'secs': 1.5, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 2657093, 'vnote': 'check rc0'}
{'id': '99', 'result': 'UNSAT', 'secs': 0.9, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2005371, 'vnote': 'check rc0'}
{'id': '55', 'result': 'UNSAT', 'secs': 4.5, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19487644, 'vnote': 'check rc0'}
{'id': '65', 'result': 'UNSAT', 'secs': 4.0, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19974763, 'vnote': 'check rc0'}
{'id': '102', 'result': 'UNSAT', 'secs': 1.0, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1902421, 'vnote': 'check rc0'}
{'id': '106', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1841108, 'vnote': 'check rc0'}
{'id': '70', 'result': 'UNSAT', 'secs': 4.1, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 19860881, 'vnote': 'check rc0'}
{'id': '108', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 668445, 'vnote': 'check rc0'}
{'id': '109', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 453591, 'vnote': 'check rc0'}
{'id': '69', 'result': 'UNSAT', 'secs': 4.4, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 20973260, 'vnote': 'check rc0'}
{'id': '107', 'result': 'UNSAT', 'secs': 1.0, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1930612, 'vnote': 'check rc0'}
{'id': '112', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1486776, 'vnote': 'check rc0'}
{'id': '114', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1884112, 'vnote': 'check rc0'}
{'id': '85', 'result': 'UNSAT', 'secs': 3.9, 'nlits': 10, 'verified': True, 'vsecs': 0.4, 'raw_bytes': 18596924, 'vnote': 'check rc0'}
